"單眼皮","单眼皮","dān yǎn pí",,,,"single eyelid",,"simple paupière",
"艾德禮","艾德礼","ài dé lǐ",,,,,"Clement Attlee (Britischer Premierminister von 1945 bis 1951) (u.E.) (Eig, Pers, 1883 - 1967","Clement Attlee",
"封建主","封建主","fēng jiàn zhǔ",,,,"feudal ruler",,"souverain féodal",
"反社會","反社会","fǎn shè huì",,,,"antisocial (behavior)",,"Comportement antisocial",
"董事卡","董事卡","dǒng shì kǎ",,,,,"Verwaltungsratspräsident (u.E.",,
"小汽車","小汽车","xiǎo qì chē",,,,"compact car","Kleinwagen (u.E.","voiture compacte",
"精明地","精明地","jīng míng de",,,,,"schlau (u.E.",,
"生物架","生物架","shēng wù jià",,,,,,"biorack
bio cadre",
"穆斯林","穆斯林","mù sī lín",,,,"Muslim","Muslim, Moslem (u.E.) (S, Rel","musulman",
"可忽視","可忽视","kě hū shì",,,,,"kann außer Acht gelassen werden (u.E.) (Adj)
kann übersehen werden (u.E.) (Adj)
unwichtig, unbedeutet, nicht relevant (u.E.) (Adj)
vernachlässigbar, nicht beachtenswert (u.E.) (Adj",,
"兔崽子","兔崽子","tù zǎi zi",,,,"brat
bastard",,"bâtard
gosse (litt. fils de lapin) (argot)",
"可保留","可保留","kě bǎo líu",,,,,"erhaltenswert (u.E.) (Adj",,
"記錄本","记录本","jì lù běn",,,,,"Bordbuch (u.E.) (S",,
"發行量","发行量","fā xíng liàng",,,,,,"tirage",
"馬拉地","马拉地","mǎ lā dì",,,,"Marathi language of west India",,,
"居普良","居普良","jū pǔ liáng",,,,,,"Cyprien de Carthage",
"晉源區","晋源区","jìn yuán qū",,,,"Jinyuan district of Taiyuan city 太原市[Tài yuán shì], Shanxi","der Stadtbezirk Jinyuan (ein Stadtbezirk der  Stadt Taiyuan) (u.E.) (Eig, Geo","District de Jinyuan",
"本菲卡","本菲卡","běn fēi kǎ",,,,,"Benfica Lissabon (u.E.) (Eig, Sport","Benfica Lisbonne (omnisports)",
"改進者","改进者","gǎi jìn zhě",,,,,"Reformator (u.E.) (S",,
"倉山區","仓山区","cāng shān qū",,,,"Cangshan district of Fuzhou city 福州市[Fú zhōu shì], Fujian",,"District de Cangshan",
"龐佳穎","庞佳颖","páng jiā yǐng",,,,,,"Pang Jiaying",
"那摩溫","那摩温","nà mó wēn",,,,"foreman (pidgin derived from ""number one", rendered in hanzi) (old)",,,
"鐘乳石","钟乳石","zhōng rǔ shí",,,,"stalactite","Tropfstein (u.E.) (Geol","Stalactite",
"阿由布","阿由布","ā yóu bù",,,,,,"Ayoub",
"吉泽拉","吉法阿","jí fǎ ā",,,,,,"Chifaa",
"沙圖什","沙图什","shā tú shí",,,,,"Shahtoosh (u.E.",,
"校色台","校色台","xiào sè tái",,,,,"Abstimmtisch (Druckw) (u.E.",,
"大淸早","大清洗","dà qīng xǐ",,,,,"Große Reinigung (u.E.) (S)
Große Säuberung (u.E.) (S",,
"斯坦雷","斯坦雷","sī tǎn léi",,,,,,"Stanley",
"大冰雹","大冰雹","dài bīng báo",,,,,"Schloss (u.E.) (S",,
"不見得","不见得","bù jiàn dé",,,,,"nicht unbedingt, nicht zwingend, kaum (u.E.) (Adj",,
"九層塔","九层塔","jǐu céng tǎ",,,,"basil","Basilikum (u.E.) (S, Agrar","Basilic (plante)",
"和田河","和田河","hé tián hé",,,,"Hotan River in Xinjiang",,"rivière Hotan (Xinjiang)",
"左權縣","左权县","zuǒ quán xiàn",,,,"Zuoquan county in Jinzhong 晉中|晋中[Jìn zhōng], Shanxi","Kreis Zuoquan (Provinz Shanxi, China) (u.E.) (Eig, Geo","Xian de Zuoquan",
"繃縫機","绷缝机","bēng féng jī",,,,,"Interlocknähmaschine, Interlockstichsewingmachine (u.E.",,
"再混合","再混合","zài hùn hé",,,,,"neu mixend (u.E.",,
"駕駛人","驾驶人","jià shǐ rén",,,,"(car, van) driver",,"conducteur",
"無原則","无原则","wú yuán zé",,,,"unprincipled","charakterlos (u.E.) (Adj","sans scrupules
peu scrupuleux",
"週期性","周期性","zhōu qī xìng",,,,"periodic
periodicity (math)
cyclicity","Periodizität (u.E.) (S, Math)
Regelmäßigkeit (u.E.) (S","périodicité
cyclicité",
"體育課","体育课","tǐ yù kè",,,,,"Sportunterricht (u.E.) (S",,
"神經管","神经管","shén jīng guan",,,,,"das Neuralrohr (u.E.) (S, Med",,
"難辨認","难辨认","nán biàn rèn",,,,,"unleserlich (u.E.",,
"沒用過","没用过","méi yòng guò",,,,,"Neuigkeit (u.E.) (S)
leer (u.E.) (Adj)
leeren (u.E.) (Adj)
neün (u.E.) (Adj)
neu (u.E.) (Adj",,
"轉向燈","转向灯","zhuǎn xiàng dēng",,,,"vehicle turn indicator light","Blinker (u.E.) (S","clignotant",
"角直徑","角直径","jué zhí jìng",,,,,,"diamètre apparent",
"兩姐妹","两姐妹","liǎng jiě mèi",,,,,"zwei Schwestern (u.E.",,
"盎格魯","盎格鲁","àng gé lǔ",,,,"Anglo-",,,
"非自然","非自然","fēi zì rán",,,,"unnatural
occult","Werkschau (u.E.) (S","contre nature
occulte",
"海軍旗","海军旗","hǎi jūn qí",,,,,"Fahne (u.E.) (S",,
"搖滾樂","摇滚乐","yáo gǔn yuè",,,,"rock music
rock 'n roll","Rock ’n’ Roll (u.E.) (S, Mus)
Rock'n'Roll (u.E.) (S, Mus","rock",
"賈斯珀","贾斯珀","jiǎ sī pò",,,,,"Jaspis (ein Mineral) (u.E.) (S, Geol",,
"透家子","透家子","tòu jiā zǐ",,,,,"schlauer Kerl (u.E.) (S",,
"相應的","相应的","xiāng yīng de",,,,,"entsprechend (u.E.) (Adv",,
"外貿易","外贸易","wài mào yì",,,,,"Außenhandel (u.E.) (S, Wirtsch",,
